idx,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,2.96,2.96,0,1,0,0,20
2,3.5,3.5,0,2,0,0,20
3,4.4,4.4,1,2,0,1,20
4,10.0,43.0,1,2,0,3,20
20,10.0,10.0,1,2,0,2,20
5,2.96,2.96,0,3,0,0,20
6,3.5,3.5,0,3,0,1,20
7,4.4,4.4,0,4,0,0,20
8,6.6,6.6,0,3,0,2,20
9,3.8,3.8,0,4,0,1,20
10,5.0,5.0,0,5,0,0,20
11,6.0,6.0,0,3,0,3,20
12,20.0,20.0,0,3,0,4,20
13,19.5,19.5,0,5,0,1,20
14,17.4,17.4,0,6,0,0,20
15,20.37,20.37,0,5,0,2,20
16,24.0,24.0,0,6,0,1,20
17,2.0,2.0,0,4,0,2,20
18,3.0,44.0,0,2,0,4,20
19,4.0,45.0,0,5,0,3,20
21,10.0,10.0,0,1,0,1,20
